delta_hz,algorithm,algorithm_label,dominant_inferred_pitch_hz,lower_reference_hz,upper_reference_hz,upper_frame_fraction,iqr_inferred_f0_hz,mean_confidence,valid_frame_fraction,branch
1.4,phase_vocoder,Phase Vocoder,440.1292145920723,440.7,881.4,0.0,0.09633120567048081,0.9944740511321181,1.0,lower_branch
1.5,phase_vocoder,Phase Vocoder,440.20035227174407,440.75,881.5,0.0,0.20376504483760982,0.9943645677255033,1.0,lower_branch
1.6,phase_vocoder,Phase Vocoder,440.2225848326624,440.8,881.6,0.0,0.045610811035317056,0.9948167162282021,1.0,lower_branch
1.7,phase_vocoder,Phase Vocoder,440.38671650515727,440.85,881.7,0.0,0.4808596607536515,0.9938671077137952,1.0,lower_branch
1.8,phase_vocoder,Phase Vocoder,440.4362026318529,440.9,881.8,0.0,0.5891169879938047,0.9946540282767166,1.0,lower_branch
1.9,phase_vocoder,Phase Vocoder,440.51162099861864,440.95,881.9,0.0,0.5774410992670482,0.9950892158784004,1.0,lower_branch
2.0,phase_vocoder,Phase Vocoder,440.4813402869706,441.0,882.0,0.0,0.1647448637739899,0.9938273749476919,1.0,lower_branch
2.1,phase_vocoder,Phase Vocoder,440.5344496194727,441.05,882.1,0.0,0.1735698192937889,0.9935762138654434,1.0,lower_branch
2.2,phase_vocoder,Phase Vocoder,440.53708771994127,441.1,882.2,0.0,0.2511095207061089,0.9935798481703716,1.0,lower_branch
2.3,phase_vocoder,Phase Vocoder,440.59188475620937,441.15,882.3,0.0,0.19155994095541473,0.9942803430915496,1.0,lower_branch
2.4,phase_vocoder,Phase Vocoder,440.6499222904888,441.2,882.4,0.0,1.0107014367540614,0.9939183999009251,1.0,lower_branch
2.5,phase_vocoder,Phase Vocoder,440.70301532846673,441.25,882.5,0.0,0.13013401744876774,0.9938323367137111,1.0,lower_branch
2.6,phase_vocoder,Phase Vocoder,440.7411297644924,441.3,882.6,0.0,0.1690642138687508,0.9939188585879657,1.0,lower_branch
2.7,phase_vocoder,Phase Vocoder,440.79530485731675,441.35,882.7,0.0,0.395247654407342,0.9950797582212235,1.0,lower_branch
2.8,phase_vocoder,Phase Vocoder,440.84516711676355,441.4,882.8,0.0,0.10103270137489062,0.9946537363509635,1.0,lower_branch
2.9,phase_vocoder,Phase Vocoder,440.8528294395918,441.45,882.9,0.0,0.07336375568570475,0.9931432341147979,1.0,lower_branch
3.0,phase_vocoder,Phase Vocoder,440.87946746600244,441.5,883.0,0.0,0.1426751224072973,0.992882645939731,1.0,lower_branch
3.1,phase_vocoder,Phase Vocoder,440.8892356191914,441.55,883.1,0.0,0.7000870489426347,0.9925974196529208,1.0,lower_branch
3.2,phase_vocoder,Phase Vocoder,440.92316594519167,441.6,883.2,0.0,0.23157975668431163,0.9942028504183029,1.0,lower_branch
3.3,phase_vocoder,Phase Vocoder,441.00270076338137,441.65,883.3,0.0,0.10424228348745146,0.9939172787382003,1.0,lower_branch
3.4,phase_vocoder,Phase Vocoder,440.9106105400767,441.7,883.4,0.0,1.0599765402247385,0.9939820220758319,1.0,lower_branch
3.5,phase_vocoder,Phase Vocoder,441.1131711216201,441.75,883.5,0.0,0.5558509960935112,0.9928531843656762,1.0,lower_branch
3.6,phase_vocoder,Phase Vocoder,440.94992672998103,441.8,883.6,0.0,1.3256459557242124,0.9948105851255505,1.0,lower_branch
3.7,phase_vocoder,Phase Vocoder,441.06419754713573,441.85,883.7,0.0,1.0217865421896022,0.9942382938144227,1.0,lower_branch
3.8,phase_vocoder,Phase Vocoder,441.0204544358,441.9,883.8,0.0,1.326644790636749,0.9937686361494833,1.0,lower_branch
3.9,phase_vocoder,Phase Vocoder,441.28558443080215,441.95,883.9,0.0,0.16402711919465673,0.9928852981193279,1.0,lower_branch
4.0,phase_vocoder,Phase Vocoder,440.8570728615639,442.0,884.0,0.0,1.301689549921548,0.9928431552489457,1.0,lower_branch
4.1,phase_vocoder,Phase Vocoder,441.01220881144695,442.05,884.1,0.0,1.1305382805903719,0.9922366546838352,1.0,lower_branch
4.2,phase_vocoder,Phase Vocoder,441.1585427761531,442.1,884.2,0.0,2.2057530796037668,0.9930247020809346,1.0,lower_branch
4.3,phase_vocoder,Phase Vocoder,440.8417817069886,442.15,884.3,0.0,1.2362041983841436,0.9942425463066651,1.0,lower_branch
4.4,phase_vocoder,Phase Vocoder,441.5686547331289,442.2,884.4,0.0,2.589657559847012,0.9940330889673228,1.0,lower_branch
4.5,phase_vocoder,Phase Vocoder,441.4457359434166,442.25,884.5,0.0,1.6425849179552188,0.9920862541760163,1.0,lower_branch
4.6,phase_vocoder,Phase Vocoder,442.04138372084043,442.3,884.6,0.0,2.5087457036058822,0.9933758946200548,1.0,lower_branch
4.7,phase_vocoder,Phase Vocoder,440.4262308384699,442.35,884.7,0.0,2.6122023281807287,0.9936311043387632,1.0,lower_branch
4.8,phase_vocoder,Phase Vocoder,441.4196596344733,442.4,884.8,0.0,0.8046441626222531,0.9934957615959965,1.0,lower_branch
4.9,phase_vocoder,Phase Vocoder,440.4784557792855,442.45,884.9,0.0,2.441935694929896,0.9928333541491828,1.0,lower_branch
5.0,phase_vocoder,Phase Vocoder,441.21350716618787,442.5,885.0,0.0,2.769285632442177,0.9917086808301149,1.0,lower_branch
0.0,rubber_band,Rubber Band,446.48810025585794,440.0,880.0,0.04878048780487805,0.35123729097745127,0.915560410305654,0.9425287356321839,lower_branch
0.1,rubber_band,Rubber Band,446.492001786112,440.05,880.1,0.04878048780487805,0.39350215331148775,0.9155623291457362,0.9425287356321839,lower_branch
0.2,rubber_band,Rubber Band,446.52333357731925,440.1,880.2,0.04878048780487805,0.39017499154442703,0.9155748769052984,0.9425287356321839,lower_branch
0.3,rubber_band,Rubber Band,446.576436238393,440.15,880.3,0.04878048780487805,0.4599121720166295,0.9151901594763142,0.9425287356321839,lower_branch
0.4,rubber_band,Rubber Band,446.52533090992296,440.2,880.4,0.04878048780487805,0.5546808124537392,0.9151543136603334,0.9425287356321839,lower_branch
0.5,rubber_band,Rubber Band,446.49017735589587,440.25,880.5,0.04878048780487805,0.5371536932483423,0.9152100514161731,0.9425287356321839,lower_branch
0.6,rubber_band,Rubber Band,446.5294164327651,440.3,880.6,0.04878048780487805,0.41717126172704866,0.9151915219086785,0.9425287356321839,lower_branch
0.7,rubber_band,Rubber Band,446.6029491756414,440.35,880.7,0.04878048780487805,0.5328852333163354,0.9151990076416866,0.9425287356321839,lower_branch
0.8,rubber_band,Rubber Band,446.6579642336192,440.4,880.8,0.04878048780487805,0.7574203850044796,0.9150022517599317,0.9425287356321839,lower_branch
0.9,rubber_band,Rubber Band,446.6111163138649,440.45,880.9,0.04878048780487805,0.803524030732433,0.9147949005594216,0.9425287356321839,lower_branch
1.0,rubber_band,Rubber Band,446.6712233359504,440.5,881.0,0.04878048780487805,0.7266495316179089,0.9146453743836084,0.9425287356321839,lower_branch
1.1,rubber_band,Rubber Band,446.6923528143919,440.55,881.1,0.04878048780487805,0.7201667084842711,0.9148082737746499,0.9425287356321839,lower_branch
1.2,rubber_band,Rubber Band,446.68598099153195,440.6,881.2,0.04878048780487805,0.7843038284256636,0.914923584385337,0.9425287356321839,lower_branch
1.3,rubber_band,Rubber Band,446.82330524231736,440.65,881.3,0.04878048780487805,0.8354423788956638,0.9150215920652959,0.9425287356321839,lower_branch
1.4,rubber_band,Rubber Band,446.8302201375052,440.7,881.4,0.04878048780487805,0.9442528442148159,0.9145682117689691,0.9425287356321839,lower_branch
