signal_family,signal_name,signal_label,depth_semitones,rate_hz,shift_semitones,algorithm,algorithm_label,implementation,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,3,psola,PSOLA,local pitch-synchronous overlap-add,0.696733520072222,0.4971784928811346,820.2085863416124,0.00015059271060874598,0.13081250014233448,0.8141729379289521,0.3150453435939651
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,7,phase_vocoder,Phase Vocoder,local phase vocoder,0.7013119410164034,0.430549639707379,118.74907036240192,0.00015830858678738294,0.09494671796255869,0.08351005704345066,0.0595383611975989
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,7,wsola,WSOLA,local waveform-similarity overlap-add,282.90698768687,2.056743606570768,332.13923456800813,0.47575111176292956,0.9703140073482527,0.305784142117976,0.5839497537430528
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,7,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,175.23764408170945,1.952510110291546,346.0787638576947,0.29429918027368157,0.9142059446199636,0.32030400591192887,0.509603043601858
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,7,psola,PSOLA,local pitch-synchronous overlap-add,0.6503239980573168,0.4569141411176156,998.6084536760836,7.238012820480064e-05,0.10913851955926383,1.0,0.3697369665624895
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,12,phase_vocoder,Phase Vocoder,local phase vocoder,0.7273233558717737,0.4586030933415,228.5378937256113,0.00020214484795735293,0.11004766911967902,0.19786964036966712,0.10270648477910116
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,12,wsola,WSOLA,local waveform-similarity overlap-add,113.05496289616072,1.9037412519811996,431.3753867744939,0.1895045634542926,0.8879540557460276,0.40915172243793846,0.4955367805460862
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,61.09391624498844,1.7460933497250506,447.8499846471232,0.10193616226078678,0.803093442751945,0.4263121955213234,0.4437806001780184
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,12,psola,PSOLA,local pitch-synchronous overlap-add,0.6364298340000487,0.3605646743440922,378.5112648789115,4.8964708177117473e-05,0.05727436726138399,0.3540867461708643,0.13713669271347514
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,-12,phase_vocoder,Phase Vocoder,local phase vocoder,0.8382682374553391,0.4634009736790456,111.04495951705375,0.00038911694584631,0.11263032997776533,0.07548520643312669,0.06283488445224611
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,-12,wsola,WSOLA,local waveform-similarity overlap-add,237.2694746167339,1.9101523083727008,211.71980829028308,0.39883957299373535,0.8914050764544316,0.18035137955029348,0.49019867633282016
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,-12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,163.63997815451768,1.8536139880938944,219.0436306865676,0.27475398000782686,0.8609709479449408,0.18798010943314764,0.4412350124619718
subtle_modulation,vibrato_depth_0.5_rate_2,0.5 st / 2 Hz,0.5,2.0,-12,psola,PSOLA,local pitch-synchronous overlap-add,0.7226971125831982,0.435965554290362,216.71309253274003,0.00019434837820892078,0.09786206174359276,0.18555254564265272,0.09453631858815147
subtle_modulation,vibrato_depth_0.75_rate_2,0.75 st / 2 Hz,0.75,2.0,3,phase_vocoder,Phase Vocoder,local phase vocoder,0.7189391639028714,0.3435616925870877,45.94324349612204,0.00018801521945034826,0.04812179730024247,0.0076731569921243805,0.0186609898372724
subtle_modulation,vibrato_depth_0.75_rate_2,0.75 st / 2 Hz,0.75,2.0,3,wsola,WSOLA,local waveform-similarity overlap-add,290.2427498021922,2.081601526792503,265.3022526531953,0.4881138527270814,0.9836948282636301,0.2361645836928585,0.56932442156119
subtle_modulation,vibrato_depth_0.75_rate_2,0.75 st / 2 Hz,0.75,2.0,3,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,195.4523589336952,1.9978170465607483,277.24205928125343,0.3283664359249122,0.9385943083702233,0.248601471794511,0.5051874053632155
subtle_modulation,vibrato_depth_0.75_rate_2,0.75 st / 2 Hz,0.75,2.0,3,psola,PSOLA,local pitch-synchronous overlap-add,0.6964048570161565,0.4959921132209475,861.8652612461798,0.0001500388245689932,0.1301738813991329,0.8575638755390764,0.3292959319209261
