case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
two_oscillators_00hz,two_oscillators,440 + 440,0.0,Hz separation,"{""frequencies_hz"": ""440,440"", ""separation_hz"": 0.0}",3,0.03086103699713142,0.3005385807299542,0.02297615292150769,0.4922179649977017,0.46924181207619403
two_oscillators_00hz,two_oscillators,440 + 440,0.0,Hz separation,"{""frequencies_hz"": ""440,440"", ""separation_hz"": 0.0}",7,0.04760166066488429,0.3037457720048911,0.07492267356215003,0.5731912920892922,0.49826861852714216
two_oscillators_00hz,two_oscillators,440 + 440,0.0,Hz separation,"{""frequencies_hz"": ""440,440"", ""separation_hz"": 0.0}",12,0.030076479362964446,0.2807786619225591,0.07328879053700994,0.4698966732314091,0.39660788269439917
two_oscillators_01hz,two_oscillators,440 + 441,1.0,Hz separation,"{""frequencies_hz"": ""440,441"", ""separation_hz"": 1.0}",-12,0.06425825882218834,0.3397334788943702,0.06351048993557339,0.6705984177826857,0.6070879278471123
two_oscillators_01hz,two_oscillators,440 + 441,1.0,Hz separation,"{""frequencies_hz"": ""440,441"", ""separation_hz"": 1.0}",3,0.018438894546345896,0.24542379837432088,0.017489875088108474,0.37027050630375385,0.3527806312156454
two_oscillators_01hz,two_oscillators,440 + 441,1.0,Hz separation,"{""frequencies_hz"": ""440,441"", ""separation_hz"": 1.0}",7,0.049103467421575245,0.3003573603828153,0.06734416062342362,0.5674821478035388,0.5001379871801152
two_oscillators_01hz,two_oscillators,440 + 441,1.0,Hz separation,"{""frequencies_hz"": ""440,441"", ""separation_hz"": 1.0}",12,0.031646896299724545,0.278465281268488,0.06700394731752989,0.47573487138748355,0.40873092406995365
two_oscillators_02hz,two_oscillators,440 + 442,2.0,Hz separation,"{""frequencies_hz"": ""440,442"", ""separation_hz"": 2.0}",-12,0.0702771021662553,0.35192076624905966,0.0615495071310733,0.6880634409238926,0.6265139337928193
two_oscillators_02hz,two_oscillators,440 + 442,2.0,Hz separation,"{""frequencies_hz"": ""440,442"", ""separation_hz"": 2.0}",3,0.029425166163002763,0.304422933597815,0.016998487525560758,0.46795742003182417,0.4509589325062634
two_oscillators_02hz,two_oscillators,440 + 442,2.0,Hz separation,"{""frequencies_hz"": ""440,442"", ""separation_hz"": 2.0}",7,0.03645831509274711,0.2848953501273811,0.06848680075987464,0.5004814499457012,0.4319946491858266
