case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,algorithm,algorithm_label,implementation,shift_semitones,frame_index,time_seconds,observed_output_f0_hz,inferred_input_f0_hz,pitch_confidence
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,81,1.8808163265306121,440.27282657158713,440.27282657158713,0.9989598706694527
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,82,1.9040362811791383,440.2728296053456,440.2728296053456,0.9989597414683925
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,83,1.9272562358276644,440.29094427149056,440.29094427149056,0.9983457892281061
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,84,1.9504761904761905,440.5785804436221,440.5785804436221,0.9887305465720444
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,85,1.9736961451247166,441.34176519749326,441.34176519749326,0.9640447004987235
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,86,1.9969160997732427,441.9282583258934,441.9282583258934,0.9458383094607085
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,0,0.0,440.84268956594553,881.6853791318911,0.964759535526456
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,1,0.023219954648526078,440.8426111241365,881.685222248273,0.9740729937381923
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,2,0.046439909297052155,440.842510028015,881.68502005603,0.990397129738905
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,3,0.06965986394557823,440.84252676111606,881.6850535222321,0.9982308645346636
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,4,0.09287981859410431,440.8425670333242,881.6851340666484,0.9989907509732495
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,5,0.11609977324263039,440.8425641787089,881.6851283574179,0.9989906523986499
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,6,0.13931972789115646,440.84256190937106,881.6851238187421,0.9989905445333318
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,7,0.16253968253968254,440.84255960359263,881.6851192071853,0.9989904330004963
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,8,0.18575963718820862,440.84255775216104,881.6851155043221,0.9989903152000235
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,9,0.2089795918367347,440.84255609748857,881.6851121949771,0.9989901868475765
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,10,0.23219954648526078,440.84255460608347,881.6851092121669,0.9989900463207582
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,11,0.25541950113378686,440.8425536104661,881.6851072209322,0.9989898995236439
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,12,0.2786394557823129,440.8425526062246,881.6851052124492,0.998989744359676
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,13,0.301859410430839,440.8425522142178,881.6851044284356,0.998989575384837
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,14,0.3250793650793651,440.8425517473156,881.6851034946312,0.9989893910739004
