depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_catastrophic_count,fixed_catastrophic_any,adaptive_catastrophic,adaptive_composite_stress,worst_fixed_algorithm_label,worst_fixed_composite_stress,preflight_outcome
1.0,2.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5800000000000001,high,pitch_motion|periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,1,True,False,0.040171819635154836,WSOLA,0.5553355854821912,caught
1.0,2.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,130.8520475812949,67.09929263995983,1.980064655172411,0.4893865195918439,7.960084618361004e-07,0.5240090363523335,0,False,False,0.08819443900851437,WSOLA,0.4565296071735292,false_alarm
0.0,4.0,-12,phase_vocoder,Phase Vocoder,True,high_risk_phase_vocoder_fallback,0.06,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,False,0.04605102536125225,WSOLA,0.5973914677579687,caught
0.0,4.0,3,psola,PSOLA,False,stable_periodic_light_shift,0.0,0.25,medium,periodic_representation_bias,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,False,0.29516438617601753,WSOLA,0.4962888040293905,safe
0.0,4.0,7,phase_vocoder,Phase Vocoder,True,high_risk_phase_vocoder_fallback,0.06,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,False,0.02900469812175924,WSOLA,0.5877129015552617,caught
0.0,4.0,12,phase_vocoder,Phase Vocoder,True,high_risk_phase_vocoder_fallback,0.06,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,False,0.05093908685122051,WSOLA,0.4392719651419859,false_alarm
0.025,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,1,True,False,0.04611841279192371,WSOLA,0.5812199912474633,caught
0.025,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,0,False,False,0.0006484928968813093,WSOLA,0.49671076639109657,false_alarm
0.025,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,1,True,False,0.02902964011717424,WSOLA,0.5876434506732705,caught
0.025,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,0,False,False,0.05090901132905018,WSOLA,0.4395579706515706,false_alarm
0.05,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,1,True,False,0.04605199991929252,WSOLA,0.5824154138050849,caught
0.05,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,0,False,False,0.0005761743697635167,WSOLA,0.5120608548292327,false_alarm
0.05,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,1,True,False,0.029331576131526316,WSOLA,0.5929725480538345,caught
0.05,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,0,False,False,0.05053578008949706,WSOLA,0.44637035305154465,false_alarm
0.1,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,1,True,False,0.04598919782124328,WSOLA,0.5870851731372047,caught
0.1,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,1,True,False,0.0007362555997100136,WSOLA,0.5295513716014252,caught
0.1,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,1,True,False,0.030769403075831436,WSOLA,0.591350446612812,caught
0.1,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,0,False,False,0.05581790717036317,WSOLA,0.46477299349091156,false_alarm
0.2,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,22.223263621045277,11.360536520706308,3.960129310344822,0.4832247522950633,1.06246399399567e-06,0.5240090363523335,1,True,False,0.04585497482323164,WSOLA,0.5538702042032665,caught
0.2,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,22.223263621045277,11.360536520706308,3.960129310344822,0.4832247522950633,1.06246399399567e-06,0.5240090363523335,1,True,False,0.0019212963509861148,WSOLA,0.543977003299085,caught
0.2,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,22.223263621045277,11.360536520706308,3.960129310344822,0.4832247522950633,1.06246399399567e-06,0.5240090363523335,1,True,False,0.03405259495538403,WSOLA,0.5861626796660219,caught
0.2,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,22.223263621045277,11.360536520706308,3.960129310344822,0.4832247522950633,1.06246399399567e-06,0.5240090363523335,0,False,False,0.06857786134787257,WSOLA,0.49309890978047183,false_alarm
0.35,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,39.538186030885406,19.851111962000186,3.960129310344822,0.4822491356444858,1.0351527158899366e-06,0.5240090363523335,1,True,False,0.04542634677904513,WSOLA,0.5896767558792381,caught
0.35,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,39.538186030885406,19.851111962000186,3.960129310344822,0.4822491356444858,1.0351527158899366e-06,0.5240090363523335,1,True,False,0.003997310183199533,WSOLA,0.5570869163799352,caught
0.35,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,39.538186030885406,19.851111962000186,3.960129310344822,0.4822491356444858,1.0351527158899366e-06,0.5240090363523335,1,True,False,0.037758664922345746,WSOLA,0.573188677593115,caught
0.35,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,39.538186030885406,19.851111962000186,3.960129310344822,0.4822491356444858,1.0351527158899366e-06,0.5240090363523335,0,False,False,0.0772970726282896,WSOLA,0.5034367268151029,false_alarm
0.5,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,56.79779921511263,28.339179154456563,3.960129310344822,0.4812925145974513,9.346422776642994e-07,0.5240090363523335,0,False,False,0.04497090304872725,WSOLA,0.5113974924670683,false_alarm
0.5,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,56.79779921511263,28.339179154456563,3.960129310344822,0.4812925145974513,9.346422776642994e-07,0.5240090363523335,1,True,False,0.006580145661060975,WSOLA,0.542545222972441,caught
0.5,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,56.79779921511263,28.339179154456563,3.960129310344822,0.4812925145974513,9.346422776642994e-07,0.5240090363523335,1,True,False,0.03994899462663002,WSOLA,0.5798840764482671,caught
0.5,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,56.79779921511263,28.339179154456563,3.960129310344822,0.4812925145974513,9.346422776642994e-07,0.5240090363523335,0,False,False,0.08199030194059154,WSOLA,0.5023472293035172,false_alarm
0.75,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,85.24110640695646,42.75107536535898,3.960129310344822,0.47963586620629756,6.237334942549625e-07,0.5240090363523335,1,True,False,0.043314782234452454,WSOLA,0.5255033529230639,caught
0.75,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5,high,pitch_motion|periodic_representation_bias|micro_modulation_trap,1.0,85.24110640695646,42.75107536535898,3.960129310344822,0.47963586620629756,6.237334942549625e-07,0.5240090363523335,1,True,False,0.009484966716060497,WSOLA,0.5900298186957187,caught
0.75,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5800000000000001,high,pitch_motion|periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,85.24110640695646,42.75107536535898,3.960129310344822,0.47963586620629756,6.237334942549625e-07,0.5240090363523335,1,True,False,0.04250640594215818,WSOLA,0.5394585648141618,caught
0.75,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,85.24110640695646,42.75107536535898,3.960129310344822,0.47963586620629756,6.237334942549625e-07,0.5240090363523335,0,False,False,0.08764075536078113,WSOLA,0.5086909188206304,false_alarm
1.0,4.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,118.42998316997036,57.84827288211042,3.960129310344822,0.47795238398111306,7.959877648554353e-07,0.5240090363523335,0,False,False,0.04227145645176041,Rubber Band,0.46970429054705853,false_alarm
1.0,4.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5,high,pitch_motion|periodic_representation_bias|micro_modulation_trap,1.0,118.42998316997036,57.84827288211042,3.960129310344822,0.47795238398111306,7.959877648554353e-07,0.5240090363523335,0,False,False,0.009137431515420626,WSOLA,0.44399778712405863,false_alarm
1.0,4.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.5800000000000001,high,pitch_motion|periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,118.42998316997036,57.84827288211042,3.960129310344822,0.47795238398111306,7.959877648554353e-07,0.5240090363523335,1,True,False,0.04569707345999202,WSOLA,0.5926587839743348,caught
1.0,4.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.7000000000000001,high,pitch_motion|periodic_representation_bias|large_shift|micro_modulation_trap,1.0,118.42998316997036,57.84827288211042,3.960129310344822,0.47795238398111306,7.959877648554353e-07,0.5240090363523335,0,False,False,0.09325816644931186,WSOLA,0.5062889898593146,false_alarm
0.0,5.5,-12,phase_vocoder,Phase Vocoder,True,high_risk_phase_vocoder_fallback,0.06,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,False,0.04605102536125225,WSOLA,0.5973914677579687,caught
0.0,5.5,3,psola,PSOLA,False,stable_periodic_light_shift,0.0,0.25,medium,periodic_representation_bias,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,False,0.29516438617601753,WSOLA,0.4962888040293905,safe
