selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,signal_family,signal_name,signal_label,case_id,case_label,shift_semitones,policy,policy_label,guard_applied,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:12,harmonic / saw +12,12,noise_plus_transient,Noise + Transient,False,0.4786545091954336,0.7209688146921078,1226.613388107646,1.0,0.0005473543373196483,0.24106105904318237,0.38249100412456266,0.2080331391683549,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.1,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:12,harmonic / saw +12,12,forced_everywhere,Forced Everywhere,True,0.43078905827589026,0.5456016593760628,1014.2220141108821,0.7567618019776123,0.0004898689266669274,0.15693049065770662,0.3160848007560288,0.1578350534468008,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:-12,harmonic / saw -12,-12,no_guard,No Guard,False,0.5795772719572991,0.7499225880332745,502.2338983159349,1.0,0.0006685604755700707,0.25495133059207437,0.15600679805771867,0.13720889637512104,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:-12,harmonic / saw -12,-12,current_v3,Current v3,False,0.5795772719572991,0.7499225880332745,502.2338983159349,1.0,0.0006685604755700707,0.25495133059207437,0.15600679805771867,0.13720889637512104,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:-12,harmonic / saw -12,-12,noise_only,Noise Only,False,0.5795772719572991,0.7499225880332745,502.2338983159349,1.0,0.0006685604755700707,0.25495133059207437,0.15600679805771867,0.13720889637512104,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:-12,harmonic / saw -12,-12,noise_plus_transient,Noise + Transient,False,0.5795772719572991,0.7499225880332745,502.2338983159349,1.0,0.0006685604755700707,0.25495133059207437,0.15600679805771867,0.13720889637512104,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.1,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:-12,harmonic / saw -12,-12,forced_everywhere,Forced Everywhere,True,0.5216195447615691,0.6720159547667756,453.58962536985325,0.8961137662611088,0.0005989544510923075,0.21757643375978433,0.14079769883120682,0.1196576956806945,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|broadband_structure|high_centroid,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,harmonic,square,harmonic / square,square:3,harmonic / square +3,3,no_guard,No Guard,False,1.037411313657616,0.9725105060616916,168.87059376193994,1.0,0.0012184096338319812,0.36173556864236256,0.051777558511688894,0.13824384559596115,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|broadband_structure|high_centroid,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,harmonic,square,harmonic / square,square:3,harmonic / square +3,3,current_v3,Current v3,False,1.037411313657616,0.9725105060616916,168.87059376193994,1.0,0.0012184096338319812,0.36173556864236256,0.051777558511688894,0.13824384559596115,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|broadband_structure|high_centroid,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,harmonic,square,harmonic / square,square:3,harmonic / square +3,3,noise_only,Noise Only,False,1.037411313657616,0.9725105060616916,168.87059376193994,1.0,0.0012184096338319812,0.36173556864236256,0.051777558511688894,0.13824384559596115,0.4040532713727877,False
phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|broadband_structure|high_centroid,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,harmonic,square,harmonic / square,square:3,harmonic / square +3,3,noise_plus_transient,Noise + Transient,False,1.037411313657616,0.9725105060616916,168.87059376193994,1.0,0.0012184096338319812,0.36173556864236256,0.051777558511688894,0.13824384559596115,0.4040532713727877,False
