signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.0928060031570722,0.2665856980156342,108.29201650511658,8.395830963702201e-05,0.023075485850400597,0.03283708439829883,0.018665509519445483
inharmonic,bell_resonator,inharmonic / bell_resonator,wsola,WSOLA,local waveform-similarity overlap-add,7,53.99972948618469,1.4692234286123502,336.29963034740985,0.0648250518105737,0.6000284258383775,0.10412585516832161,0.2563264442724243
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,16.95752629360915,1.3325254451347643,336.31304109213085,0.020338136486491493,0.5344489903597577,0.10413004816648584,0.21963905833757835
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,7,0.0742583645364535,0.2275195519683004,2482.7223139081534,6.168298156089605e-05,0.004333908696634168,0.7752255262949881,0.259873705991061
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.0931700838681044,0.2615753872501699,235.5784578310202,8.439556299580892e-05,0.020671841383871382,0.07263441302650246,0.031130216657789884
inharmonic,bell_resonator,inharmonic / bell_resonator,wsola,WSOLA,local waveform-similarity overlap-add,12,28.53482661618661,1.33914722699484,283.63468492871806,0.034242233293433136,0.5376257213194907,0.08765965406959116,0.21984253622750502
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,12.374836356274638,1.239807524531693,306.3029005101621,0.014834421220451754,0.48996853251234623,0.0947470894280821,0.19985001438696004
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,12,0.0699201760905555,0.2184856745785048,3201.6334530477275,5.6472907498906714e-05,0.0,1.0,0.333352157635833
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.1019396401446813,0.2753245090912441,2263.885533767095,9.492761762219371e-05,0.02726783955243437,0.7068041047791421,0.24472229064973292
inharmonic,bell_resonator,inharmonic / bell_resonator,wsola,WSOLA,local waveform-similarity overlap-add,-12,103.80924968628742,1.4852262556880829,2187.7096396288166,0.12464524922040986,0.6077056156475498,0.6829869797107602,0.47177928152624
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,37.329986485550464,1.3550692679010088,2222.62842572496,0.0448050373020397,0.5452641548042484,0.6939046736229345,0.4279912885764075
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.0960926084593081,0.3425646501384232,1017.5249954622448,8.790545422299938e-05,0.05952559770802416,0.31711750960485613,0.1255770042557011
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.0969093038865393,0.2736352882074414,246.86806528949631,8.888628843871584e-05,0.026457453406711576,0.07616421724938914,0.03423685231484647
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,wsola,WSOLA,local waveform-similarity overlap-add,3,20.602271470260323,1.2926377684797346,575.8134736973444,0.02471539961008552,0.515313292443486,0.179012159125832,0.23968028372646785
