signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.2345474350014985,0.8849286258972804,130.13328541873597
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,3,0.22343110906197983,1.0583621450991745,841.9573540900494
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,7,0.21743001923342176,1.2627178860723645,1766.5388077182392
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,12,0.21360666107087586,1.4276357513043347,2638.7749892914862
transient,click_sequence,transient / click_sequence,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.07525745500565878,0.3463253367268263,300.0156778832519
transient,click_sequence,transient / click_sequence,psola,PSOLA,local pitch-synchronous overlap-add,3,0.08857107489224353,0.3482331694371922,1207.0674614173865
transient,click_sequence,transient / click_sequence,psola,PSOLA,local pitch-synchronous overlap-add,7,0.08620952315724757,0.35952223746768197,1152.1631371516835
transient,click_sequence,transient / click_sequence,psola,PSOLA,local pitch-synchronous overlap-add,12,0.08740611647161829,0.37987974010355613,809.0391830761815
transient,impulse_train,transient / impulse_train,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.02551608431522965,0.33004509984162095,2726.422781036163
transient,impulse_train,transient / impulse_train,psola,PSOLA,local pitch-synchronous overlap-add,3,0.026772005666461242,0.32483473718772105,1077.155172413794
transient,impulse_train,transient / impulse_train,psola,PSOLA,local pitch-synchronous overlap-add,7,0.0245097544807562,0.3586127320281325,1776.2479292143864
transient,impulse_train,transient / impulse_train,psola,PSOLA,local pitch-synchronous overlap-add,12,0.026935296621378287,0.3965586483611432,2726.6884019326026
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,168.5392213630737,1.6292168002383196,541.0312081264118
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,100.30596638991814,1.9461645502571645,330.65162755121264
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,113.68109620586945,2.0473559723181087,643.7577931563943
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,59.58080237058617,1.8705435581648449,1177.7797054620198
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,251.8599506125386,1.9310220934202988,218.74112933960322
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,88.70385473112793,1.92092023872056,276.89056180843744
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,177.54711869567237,1.987056993752296,344.26854006006243
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,16.45785260538132,1.6109065765517965,458.41343105790884
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,250.60412156408864,2.0399266070265165,1528.0131688328097
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,219.05348583504062,2.1060882273115826,369.22336503881945
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,162.60185857730076,2.102167953423429,378.82974901883006
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,67.88689766955841,1.9497887623551682,309.19940854638395
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,37.329986485550464,1.3550692679010088,2222.62842572496
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,21.386980945224764,1.3900829033925244,504.99986743942867
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,16.95752629360915,1.3325254451347643,336.31304109213085
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,12.374836356274638,1.239807524531693,306.3029005101621
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,25.86748940610398,1.1959340922804769,798.6859131017852
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,14.046623199410009,1.1825175351384205,583.9282975561466
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,7.053983965510808,1.039471440722069,1127.0980310519853
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,11.651294588848504,1.1444080879358567,2061.050141852031
modulated,fm_tone,modulated / fm_tone,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,131.0065134476186,1.8533933751257372,210.77920224426953
modulated,fm_tone,modulated / fm_tone,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,130.1042445882647,1.9673997432760362,251.0657403142238
modulated,fm_tone,modulated / fm_tone,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,44.65400906523279,1.78557334390496,314.86198125339416
modulated,fm_tone,modulated / fm_tone,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,79.01752287445991,1.845729336184658,385.08696715300533
