signal_family,signal_name,signal_label,case_label,shift_semitones,dry_mix,algorithm,algorithm_label,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,dry_similarity,peak_preservation,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.1,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.21445171456641896,1.0178546828658268,2076.81494639795,0.8953696760138651,0.0,0.5427535990416151,0.000232801614767426,0.38348896574017344,0.648485560757644,0.3440691093708616,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.2,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.1906237462812613,0.8905163986285827,1539.895567680871,0.7833548273120371,0.08985256838684574,0.4997719103262751,0.00020418479932375255,0.3223997486014015,0.48069412310586945,0.2677660188355316,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.3,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.16679577799610365,0.7715465261497468,1039.4904578306953,0.678701365506598,0.20362099733848993,0.48022679105393334,0.00017556798388007911,0.2653251899455694,0.3243136754664513,0.19660481113196693,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.4,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.14296780971094597,0.6573549455059966,642.8332908351188,0.5782511929174883,0.31738942629013434,0.5178967052597955,0.00014695116843640565,0.21054296708815382,0.20035525834972026,0.13701505886877016,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.5,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.1191398414257883,0.5437733941044809,364.00693081485184,0.4783376408245782,0.43115785524177863,0.5982472543831628,0.00011833435299273218,0.15605339941345164,0.11321987516649515,0.08979720297764653,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.6,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.09531187314063065,0.4298359095992259,186.99218550037094,0.3781109873497691,0.5449262841934228,0.6785978035065303,8.971753754905873e-05,0.10139307653506933,0.05790140505865757,0.05312806637709199,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.7,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.071483904855473,0.31602695895913036,84.57231045297462,0.2779974004326346,0.6586947131450671,0.7589483526298977,6.110072210538529e-05,0.04679441644133539,0.025894405945717784,0.024249974369719523,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.85,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0357419524277365,0.1525524500115037,16.004622024845656,0.1341948315817954,0.8293473565725336,0.8794741763149488,1.8175498939875097e-05,0.0,0.004466475656993542,0.0014948837186444725,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,1.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.023637316192103405,0.2773870306177653,3.2669869201981365,1.0,0.0,0.9619908541133363,3.6381226506980163e-06,0.028257312797984768,0.00048586666575294854,0.009582272528796138,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.1,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.02127358457289306,0.277214928009408,1.7122518755124223,0.999379557840271,0.0,0.8657917687020027,7.993379630647016e-07,0.028174748362041046,0.0,0.009391849233334703,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.2,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.018909852953682724,0.2661506155229881,1.7965421103256412,0.9594919233615474,0.07997205467339386,0.7695926832906691,0.0,0.022866759550798366,2.6341347025152094e-05,0.007631033632607839,0.40410895268938746,False
