depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_danger_count,fixed_danger_any,worst_fixed_algorithm_label,worst_fixed_composite_stress,v1_composite_stress,v2_composite_stress,v2_catastrophic,fixed_danger_avoided
0.025,4.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,0,False,WSOLA,0.49671076639109657,0.0006484928968813193,0.2949034153009973,False,False
0.025,4.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,1,True,WSOLA,0.5876434506732705,0.029029640117174252,0.3224959975028981,False,True
0.025,4.0,12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,2.7500191313873685,1.4141712792417325,3.960129310344822,0.4841398598231785,1.0636079092034195e-06,0.5240090363523335,0,False,WSOLA,0.4395579706515706,0.05090901132905018,0.40255366225157324,False,False
0.05,4.0,-12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,1,True,WSOLA,0.5824154138050849,0.04605199991929252,0.4958148144936301,False,True
0.05,4.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,0,False,WSOLA,0.5120608548292327,0.0005761743697635267,0.29648460237497193,False,False
0.05,4.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,1,True,WSOLA,0.5929725480538345,0.029331576131526316,0.3220115253333215,False,True
0.05,4.0,12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,5.593015225754761,2.8263747262600294,3.960129310344822,0.48404821427135425,1.0637335473413637e-06,0.5240090363523335,0,False,WSOLA,0.44637035305154465,0.05053578008949708,0.3962708026884156,False,False
0.1,4.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,1,True,WSOLA,0.5870851731372047,0.04598919782124328,0.06450117508634753,False,True
0.1,4.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.31,medium,periodic_representation_bias|selective_micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,1,True,WSOLA,0.5295513716014252,0.0007362555997100111,0.3020844345118053,False,True
0.1,4.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.39,high,periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,1,True,WSOLA,0.591350446612812,0.03076940307583144,0.3298961888062369,False,True
0.1,4.0,12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,11.187613319986163,5.674404123327475,3.960129310344822,0.4837646449931199,1.0640496232402573e-06,0.5240090363523335,0,False,WSOLA,0.46477299349091156,0.055817907170363175,0.09773374154338617,False,False
0.2,4.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,22.223263621045277,11.360536520706308,3.960129310344822,0.4832247522950633,1.06246399399567e-06,0.5240090363523335,1,True,WSOLA,0.5538702042032665,0.04585497482323164,0.06429044946207393,False,True
0.2,4.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.31,medium,periodic_representation_bias|selective_micro_modulation_trap,1.0,22.223263621045277,11.360536520706308,3.960129310344822,0.4832247522950633,1.06246399399567e-06,0.5240090363523335,1,True,WSOLA,0.543977003299085,0.0019212963509861148,0.30930252775546135,False,True
0.2,4.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.39,high,periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,22.223263621045277,11.360536520706308,3.960129310344822,0.4832247522950633,1.06246399399567e-06,0.5240090363523335,1,True,WSOLA,0.5861626796660219,0.03405259495538404,0.3372544894674561,False,True
